code,name,level
42,Сооружения и строительные работы в области гражданского строительства,1
42.1,Дороги автомобильные и железные; строительные работы по строительству автомобильных дорог и железных дорог,2
42.11,Дороги автомобильные и автомагистрали; строительные работы по строительству автомобильных дорог и автомагистралей,2
42.11.1,"Автомагистрали, автомобильные дороги, в том числе улично-дорожная сеть, прочие автомобильные, велосипедные или пешеходные дороги, взлетно-посадочные полосы аэродромов",3
42.11.10,"Автомагистрали, автомобильные дороги, в том числе улично-дорожная сеть, прочие автомобильные, велосипедные или пешеходные дороги, взлетно-посадочные полосы аэродромов",3
42.11.10.110,"Автомагистрали, кроме надземных автодорог (эстакад)",4
42.11.10.120,"Дороги автомобильные, в том числе улично-дорожная сеть, и прочие автомобильные и пешеходные дороги",4
42.11.10.121,Дорога автомобильная с усовершенствованным капитальным типом дорожного покрытия,4
42.11.10.122,Дорога автомобильная с усовершенствованным облегченным или переходным типом дорожного покрытия,4
42.11.10.129,"Дороги автомобильные, в том числе улично-дорожная сеть, и прочие автомобильные и пешеходные дороги, не включенные в другие группировки",4
42.11.10.130,Ограждения дорожные,4
42.11.10.140,Стоянки автомобильные с твердым покрытием,4
42.11.10.150,"Дороги подъездные, транспортные и пешеходные путепроводы над и под дорогой, велосипедные дорожки",4
42.11.10.151,Дорога подъездная,4
42.11.10.152,Дорога внутрихозяйственная,4
42.11.10.159,"Дороги подъездные, транспортные и пешеходные путепроводы над и под дорогой, велосипедные дорожки прочие",4
42.11.10.160,"Полосы взлетно-посадочные аэродромов, включая рулежные дорожки и аналогичных сооружений аэродромов, кроме зданий",4
42.11.2,"Работы строительные по строительству автомагистралей, автомобильных дорог, в том числе проходящих по улицам населенных пунктов, и прочих автомобильных или пешеходных дорог, и взлетно-посадочных полос аэродромов",3
42.11.20,"Работы строительные по строительству автомагистралей, автомобильных дорог, в том числе улично-дорожной сети, и прочих автомобильных или пешеходных дорог, и взлетно-посадочных полос аэродромов",3
42.11.20.100,Работы строительные по строительству автомобильных дорог,4
42.11.20.110,Работы строительные по строительству автомагистралей,4
42.11.20.120,Работы строительные по строительству скоростных дорог,4
42.11.20.130,Работы строительные по строительству обычных дорог,4
42.11.20.190,Работы строительные по строительству прочих автомобильных дорог,4
42.11.20.200,Работы по ремонту автомобильных дорог,4
42.11.20.210,Работы по ремонту автомагистралей,4
42.11.20.220,Работы по ремонту скоростных работы,4
42.11.20.230,Работы по ремонту обычных дорог,4
42.11.20.290,Работы по ремонту прочих автомобильных дорог,4
42.11.20.300,Работы по содержанию автомобильных дорог,4
42.11.20.900,"Работы строительные по строительству улично-дорожной сети, пешеходных дорог, взлётно-посадочных полос аэродромов, кроме работ строительных по строительству, ремонту и содержанию автомобильных дорог",4
42.12,Дороги железные наземные и подземные; строительные работы по строительству наземных и подземных железных дорог,2
42.12.1,Дороги железные наземные и подземные,3
42.12.10,Дороги железные наземные и подземные,3
42.12.10.110,Полотно железнодорожное для железных дорог,4
42.12.10.111,Полотно железнодорожное двупутное (дорога железная двупутная),4
42.12.10.112,Полотно железнодорожное многопутное (дорога железная многопутная),4
42.12.10.113,Полотно железнодорожное однопутное (дорога железная однопутная),4
42.12.10.114,Полотно железнодорожное подъездное (путь железнодорожный подъездной),4
42.12.10.119,Полотно железнодорожное для железных дорог прочее,4
42.12.10.120,Полотно железнодорожное для уличных трамваев,4
42.12.10.130,Полотно железнодорожное для подземных или надземных городских систем скоростного транспорта,4
42.12.2,Работы строительные по строительству наземных и подземных железных дорог,3
42.12.20,Работы строительные по строительству наземных и подземных железных дорог,3
42.12.20.110,Работы по устройству балластного слоя и укладке рельсовых путей,4
42.12.20.120,"Работы по монтажу стрелочных приводов, стрелок и пересечений путей",4
42.12.20.130,Работы по установке систем управления и безопасности железнодорожного движения,4
42.12.20.140,Работы строительные по строительству фуникулеров и подвесных дорог,4
42.12.20.150,Услуги по реконструкции или ремонту железнодорожных путей,4
42.12.20.190,"Работы строительные по строительству наземных и подземных железных дорог прочие, не включенные в другие группировки",4
42.13,Мосты и тоннели; строительные работы по строительству мостов и тоннелей,2
42.13.1,Мосты и тоннели,3
42.13.10,Мосты и тоннели,3
42.13.10.110,Мосты и путепроводы из любых материалов для всех типов сухопутного транспорта и для пешеходов,4
42.13.10.111,Мост автодорожный,4
